city,lat,lng,country,iso2,admin_name,population,population_proper
Karachi,24.8667,67.05,Pakistan,PK,Sindh,14835000.0,14835000.0
Lahore,31.5497,74.3436,Pakistan,PK,Punjab,11021000.0,11021000.0
Sialkot,32.5,74.5167,Pakistan,PK,Punjab,3893672.0,3893672.0
Faisalabad,31.4167,73.0833,Pakistan,PK,Punjab,3203846.0,3203846.0
Rawalpindi,33.6,73.0667,Pakistan,PK,Punjab,2098231.0,2098231.0
Peshawar,34.0078,71.5733,Pakistan,PK,Khyber Pakhtunkhwa,1970042.0,1970042.0
Mingaora,34.7761,72.3611,Pakistan,PK,Khyber Pakhtunkhwa,1860310.0,1860310.0
Multan,30.1956,71.4753,Pakistan,PK,Punjab,1606481.0,1606481.0
Gujranwala,32.15,74.1833,Pakistan,PK,Punjab,1569090.0,1569090.0
Islamabad,33.7,73.1667,Pakistan,PK,Islāmābād,1365000.0,1365000.0
Quetta,30.1872,67.0125,Pakistan,PK,Balochistān,1140000.0,1140000.0
Bahawalpur,29.4,71.6833,Pakistan,PK,Punjab,681696.0,681696.0
Sargodha,32.0836,72.6711,Pakistan,PK,Punjab,602631.0,602631.0
New Mirpur,33.1833,73.7667,Pakistan,PK,Azad Kashmir,523500.0,523500.0
Chiniot,31.72,72.9789,Pakistan,PK,Punjab,477781.0,477781.0
Sukkur,27.7,68.8667,Pakistan,PK,Sindh,476776.0,476776.0
Larkana,27.55,68.2167,Pakistan,PK,Sindh,435817.0,435817.0
Shekhupura,31.7131,73.9783,Pakistan,PK,Punjab,411834.0,411834.0
Jhang,31.3053,72.3261,Pakistan,PK,Punjab,365198.0,365198.0
Rahimyar Khan,28.4167,70.3,Pakistan,PK,Punjab,353203.0,353203.0
Gujrat,32.5667,74.0833,Pakistan,PK,Punjab,328512.0,328512.0
Kasur,31.1156,74.4467,Pakistan,PK,Punjab,314617.0,314617.0
Mardan,34.1983,72.0458,Pakistan,PK,Khyber Pakhtunkhwa,300424.0,300424.0
Dera Ghazi Khan,30.0561,70.6344,Pakistan,PK,Punjab,264742.0,264742.0
Nawabshah,26.25,68.4167,Pakistan,PK,Sindh,263102.0,263102.0
Sahiwal,30.6667,73.1,Pakistan,PK,Punjab,247706.0,247706.0
Mirpur Khas,25.5333,69.0,Pakistan,PK,Sindh,236961.0,236961.0
Okara,30.8081,73.4458,Pakistan,PK,Punjab,232386.0,232386.0
Mandi Burewala,30.15,72.6833,Pakistan,PK,Punjab,203454.0,203454.0
Jacobabad,28.2839,68.4361,Pakistan,PK,Sindh,200815.0,200815.0
Kohat,33.5869,71.4422,Pakistan,PK,Khyber Pakhtunkhwa,170800.0,170800.0
Muridke,31.7597,73.8378,Pakistan,PK,Punjab,163268.0,163268.0
Muzaffargarh,30.0667,71.2,Pakistan,PK,Punjab,163268.0,163268.0
Khanpur,28.65,70.65,Pakistan,PK,Punjab,160308.0,160308.0
Gojra,31.15,72.6833,Pakistan,PK,Punjab,157863.0,157863.0
Mandi Bahauddin,32.5833,73.5,Pakistan,PK,Punjab,157352.0,157352.0
Abbottabad,24.95,67.2,Pakistan,PK,Khyber Pakhtunkhwa,148587.0,148587.0
Dadu,28.7378,105.2281,Pakistan,PK,Sindh,146179.0,146179.0
Khuzdar,27.8,66.6167,Pakistan,PK,Balochistān,228112.0,228112.0
Pakpattan,30.35,73.4,Pakistan,PK,Punjab,139525.0,139525.0
Tando Allahyar,25.4667,68.7167,Pakistan,PK,Sindh,133487.0,133487.0
Vihari,30.0333,72.35,Pakistan,PK,Punjab,128034.0,128034.0
Jaranwala,31.3333,73.4333,Pakistan,PK,Punjab,127973.0,127973.0
Kamalia,30.7333,72.65,Pakistan,PK,Punjab,121401.0,121401.0
Kot Addu,30.47,70.9644,Pakistan,PK,Punjab,120479.0,120479.0
Nowshera,34.0164,71.9747,Pakistan,PK,Khyber Pakhtunkhwa,118594.0,118594.0
Swabi,34.12,72.4722,Pakistan,PK,Khyber Pakhtunkhwa,115018.0,115018.0
Dera Ismail Khan,31.8328,70.9025,Pakistan,PK,Khyber Pakhtunkhwa,109686.0,109686.0
Chaman,30.9169,66.4597,Pakistan,PK,Balochistān,107660.0,107660.0
Charsadda,34.1453,71.7314,Pakistan,PK,Khyber Pakhtunkhwa,105414.0,105414.0
Kandhkot,28.2333,69.1833,Pakistan,PK,Sindh,105011.0,105011.0
Hasilpur,29.7122,72.5553,Pakistan,PK,Punjab,99171.0,99171.0
Muzaffarabad,34.37,73.4711,Pakistan,PK,Azad Kashmir,96000.0,96000.0
Mianwali,32.5833,71.55,Pakistan,PK,Punjab,95007.0,95007.0
Jalalpur Jattan,32.6333,74.2,Pakistan,PK,Punjab,90130.0,90130.0
Bhakkar,31.6333,71.0667,Pakistan,PK,Punjab,88472.0,88472.0
Zhob,31.3411,69.4481,Pakistan,PK,Balochistān,88356.0,50537.0
Kharian,32.7806,74.275,Pakistan,PK,Punjab,85765.0,85765.0
Mian Channun,30.45,72.3667,Pakistan,PK,Punjab,82586.0,82586.0
Jamshoro,25.4283,68.2822,Pakistan,PK,Sindh,80000.0,80000.0
Pattoki,31.0167,73.85,Pakistan,PK,Punjab,77210.0,77210.0
Harunabad,29.6133,73.1389,Pakistan,PK,Punjab,77206.0,77206.0
Toba Tek Singh,30.9667,72.4833,Pakistan,PK,Punjab,75943.0,75943.0
Shakargarr,32.2628,75.1583,Pakistan,PK,Punjab,73160.0,73160.0
Hujra,25.6472,68.6111,Pakistan,PK,Punjab,70204.0,70204.0
Kabirwala,30.4,71.8667,Pakistan,PK,Punjab,70123.0,70123.0
Mansehra,34.3333,73.2,Pakistan,PK,Khyber Pakhtunkhwa,69085.0,69085.0
Lala Musa,32.6889,73.9611,Pakistan,PK,Punjab,67283.0,67283.0
Nankana Sahib,31.4475,73.6972,Pakistan,PK,Punjab,63073.0,63073.0
